id,created_at,text,topic,action,retweet_count,favorite_count
9.60349E+17,2018-02-05T03:05:07Z,We’re not done yet! Stay tuned after the game to see @lesdoggg and @ohsnapjbsmoove #AskAlexa https://t.co/AAkSHIkmnh,,,55,196
9.60293E+17,2018-02-04T23:24:25Z,RT @Jasondinhsum: Ask your Amazon Alexa who’s gonna win the Super Bowl.,,,30,0
9.58809E+17,2018-01-31T21:08:45Z,"RT @GordonRamsay: Sure, I can tell you the weather and how to cook your food....But telling people how it is, is what I do best ! #AskAlexa…",,,181,0
9.57781E+17,2018-01-29T01:03:28Z,"Sounds like Alexa might have lost her voice, but who could possibly replace her? https://t.co/ipDBNHjV5k",,,444,704
9.56238E+17,2018-01-24T18:52:07Z,"RT @amazonfiretv: Did you know that you can control apps like @PlayStation Vue with your voice? Just say ""Alexa, play Mr. Robot on PlayStat…",,,10,0
9.54401E+17,2018-01-19T17:10:52Z,RT @ultimateears: As if #BLAST and #MEGABLAST couldn’t get any *more ultimate*: use Alexa to control your favorite music on @siriusxm and @…,,,8,0
9.51076E+17,2018-01-10T13:01:01Z,"Are you a know-it-all when it comes to Sports Trivia? Sports Jeopardy! is perfect for you. Just say “Alexa, play Sp… https://t.co/l1XsoiNu2X",,,11,25
9.51E+17,2018-01-10T03:50:36Z,"New at #CES2018 The @polkaudio Command Bar, a sound bar system with Alexa built-in. Learn more:… https://t.co/0j82vQM3eG",,,37,74
9.50857E+17,2018-01-09T22:30:34Z,"RT @Toyota: Hey #Alexa... I’m on my way home, turn on the lights and crank up the heat! Read more from today’s special announcement from #C…",,,177,0
9.50793E+17,2018-01-09T18:15:44Z,"New at #CES2018 Meet the Onelink 'Safe &amp; Sound' by @FirstAlert, a smoke and carbon monoxide alarm with Alexa:… https://t.co/K75rC5eaZS",,,28,68
9.50488E+17,2018-01-08T22:01:01Z,New at #CES2018: Jabra brings Alexa on-the-go with new Elite 65t truly wireless headphones: https://t.co/T1qHJ7ETU8 https://t.co/J9zGWwitbZ,,,20,45
9.50472E+17,2018-01-08T21:01:01Z,"New at #CES2018: Alexa comes to PCs from @HP, @Acer, and @ASUS, all powered by @Intel and Amazon technology: … https://t.co/000DMEqsr9",,,53,140
9.50457E+17,2018-01-08T20:01:01Z,"New at #CES2018: @Hisense_USA introduces 100"" 4K TV with hands-free Alexa: https://t.co/5sQELvc01g https://t.co/pccGEh5SKZ",,,17,49
9.4854E+17,2018-01-03T13:01:01Z,"Alexa is in on the fun with this game show classic! Play Audience Match and Head-to-Head. Just say, “Alexa, play Ma… https://t.co/XJVkaFSOR8",,,22,64
9.46369E+17,2017-12-28T13:13:38Z,"Alexa teamed up with Amazon’s Acapella group, Vocally Self Critical, to record this #NYE anthem, just ask Alexa to… https://t.co/tGRODB83kb",,,36,76
9.45643E+17,2017-12-26T13:12:01Z,"Cast up to 10 votes per day with the NBA All-Star skill. Just say “Alexa, help me vote for the NBA All-Star Game” t… https://t.co/YCClimzscN",,,11,16
9.44556E+17,2017-12-23T13:12:01Z,"Teen Jeopardy! is the perfect game for the budding genius in your family. Just say, “Alexa, play Teen Jeopardy!” to… https://t.co/RaTXD87I2M",,,9,22
9.43832E+17,2017-12-21T13:12:39Z,Need to set some holiday cooking timers this weekend? Or perhaps a holiday nap timer? Alexa is ready to handle all… https://t.co/7x2qXzvwMH,,,9,32
9.43469E+17,2017-12-20T13:12:01Z,Now you can play Ellen DeGeneres' favorite game with Alexa! How many guesses can you get right in 90 seconds? Just… https://t.co/1IoalY7l18,,,27,118
9.43279E+17,2017-12-20T00:35:29Z,RT @NoradSanta: Get the #NORADTracksSanta skill to ask Alexa about Santa’s Yuletide journey around the world! @amazonecho https://t.co/ai70…,,,49,0
9.43107E+17,2017-12-19T13:12:21Z,What to wear today? What to pack this weekend? Alexa has meteorology skills to help get you out the door. Discover… https://t.co/g1lPk4hAlN,,,13,35
9.4291E+17,2017-12-19T00:12:02Z,"""Alexa, turn on holiday."" 🔌 ✨🎄Learn how to use smart plugs and more to create a holiday routine that turns on all y… https://t.co/4JHSDwa0Nc",,,12,36
9.41448E+17,2017-12-14T23:20:48Z,"🎉 Welcome to Alexa, Ellen! We can't wait to play heads up! https://t.co/V3jl7GwCXf",,,10,49
9.41E+17,2017-12-14T13:12:30Z,Alexa can make any home into a voice controlled smart home — even the gingerbread kind. Find out what else Alexa ca… https://t.co/iUIGciCptt,,,2042,52
9.40932E+17,2017-12-13T13:12:17Z,Alexa can keep you up to date with the latest news from your most trusted publishers with a daily flash briefing.⚡️… https://t.co/1IjMgsRyg6,,,14,39
9.40739E+17,2017-12-13T00:25:20Z,"Twitch is now available on Alexa which means you never have to let go of the controller! Just say “Alexa, open Twit… https://t.co/YXn6p7jTeH",,,12,27
9.4028E+17,2017-12-11T18:00:01Z,With the new Vroom skill for Alexa you can help nurture your child's growing mind with fun activities you can do to… https://t.co/HT4sIhQ6Wp,,,21,42
9.39483E+17,2017-12-09T13:12:13Z,"“Alexa, play The Handmaid's Tale on Hulu.” Pair your @AmazonFireTV and Echo device for hands-free control of apps l… https://t.co/CJGDdzRZDE",,,10,40
9.39E+17,2017-12-08T13:12:24Z,Can’t decide on your #OOTD? Let Alexa help you look your best every morning with #echolook. Tune into @TheView toda… https://t.co/OJsSJgqfBp,,,15,39
9.38396E+17,2017-12-06T13:12:14Z,"Spoiler alert! Did you know you can ask Alexa for music by genre, mood, or even lyrics with a subscription to Prime… https://t.co/468O0Wn5bq",,,18,47
9.36946E+17,2017-12-02T13:12:15Z,"“Alexa, play The Good Place on NBC.” Pair your @AmazonFireTV and Echo device for hands-free control of apps like NB… https://t.co/8DaW16bpA3",,,9,44
9.36325E+17,2017-11-30T20:02:33Z,RT @amazonmusic: The @U2 Experience: Tune in NOW to https://t.co/tX8uYhsK9J or Ask Alexa “Play The U2 Experience” to stream new music &amp; int…,,,159,0
9.35859E+17,2017-11-29T13:11:41Z,Want to get know Alexa? Just ask. Discover more things Alexa can do: https://t.co/GZXqOcwLtc https://t.co/KAlQ80KZVL,,,13,43
9.34E+17,2017-11-23T13:11:13Z,Don't forget to name your timers today! Alexa can set multiple named timers to keep track of all your Thanksgiving… https://t.co/rqKgvBYgq6,,,19,96
9.33322E+17,2017-11-22T13:11:16Z,Life is full of questions. Ask Alexa. 🤔 Discover more things Alexa can do: https://t.co/JKzfPoqQpr https://t.co/x1gxYpC4DX,,,10,30
9.31148E+17,2017-11-16T13:11:27Z,"Keep your hands full of nachos, not remotes. Hands free video streaming and voice shopping with Alexa.… https://t.co/4psa3zssBO",,,11,22
9.30423E+17,2017-11-14T13:11:02Z,"Plan your Thanksgiving menu with Alexa – just say “Alexa, it’s turkey time” to get started! 🦃 https://t.co/vBnWCmzacC",,,6,26
9.2874E+17,2017-11-09T21:42:38Z,"RT @amazon: Just ask, ""Alexa, let's shop Oprah's Favorite Things"" to get holiday ready with Butter London. #OprahsFavoriteThings https://t.…",,,31,0
9.27702E+17,2017-11-07T00:58:05Z,"RT @KUWTK: Happy birthday from these iconic voices to another. #HBDAlexa! Celebrate by saying “Alexa, open Kardashian Quote Game.” https://…",,,34,0
9.2769E+17,2017-11-07T00:10:05Z,"RT @WEMO: We’re celebrating the power of our voice today. Happy birthday, @amazon Alexa. https://t.co/XL7QKqTXqZ.   #HBDAlexa @amazonecho h…",,,6,0
9.27689E+17,2017-11-07T00:09:09Z,RT @dish: Happy Birthday to a great listener: our friend Alexa! @AmazonEcho #HBDAlexa #HandsFreeTV https://t.co/pUgs3SHoSs,,,12,0
9.27689E+17,2017-11-07T00:07:24Z,"RT @iHeartRadio: ""Alexa, play Happy Birthday on iHeartRadio"" 😀🎂 Have the best 3rd birthday! #HBDALEXA @amazonecho https://t.co/hjMIxHlSQy",,,14,0
9.28E+17,2017-11-06T22:30:39Z,"RT @smartthings: Happy Birthday to our friend that helps light up our life, @AmazonEcho Alexa! #HBDAlexa https://t.co/ESkH14vsgg https://t.…",,,14,0
9.27627E+17,2017-11-06T20:00:43Z,"RT @HTCUSA: TO: Alexa
FROM: HTC, who you allowed to go hands free anywhere

#HBDAlexa! https://t.co/Gg7Jr8NjGk",,,14,0
9.27627E+17,2017-11-06T19:59:44Z,RT @HISTORY: Wishing Alexa a #HappyBirthday! Enable #ThisDayinHistory to learn about new historical events everyday. #HBDALEXA https://t.co…,,,9,0
9.27622E+17,2017-11-06T19:40:15Z,RT @ArloSmartHome: #HBDAlexa from Arlo! Thanks for helping us keep an eye on things—completely hands-free. @AmazonEcho https://t.co/SYUI7hG…,,,6,0
9.27621E+17,2017-11-06T19:38:44Z,RT @Schlage_Locks: Celebrate Alexa's 3rd birthday with these savings on @amazonecho devices. #HBDAlexa https://t.co/Yee3Obtzzu https://t.co…,,,5,0
9.27617E+17,2017-11-06T19:23:32Z,RT @amazon: That's one smart three year old. #HBDAlexa https://t.co/q9944L2gl9,,,201,0
9.27614E+17,2017-11-06T19:09:34Z,RT @AugustHomeInc: #HBDAlexa! You may be only three years old but you've really shown us that you've got things on lock. 😉 https://t.co/qpX…,,,5,0
9.27595E+17,2017-11-06T17:53:38Z,"RT @amazonnews: Happy 3rd birthday, Alexa! #HBDAlexa
https://t.co/bfo17xiDZr",,,65,0
9.2759E+17,2017-11-06T17:33:39Z,"RT @ecobee: It might be Alexa’s Birthday, but YOU get the presents. Today only, get $40 OFF ecobee4 smart thermostats #HBDAlexa https://t.c…",,,20,0
9.27565E+17,2017-11-06T15:53:13Z,RT @amazonmusic: #HBDAlexa 🎉 Visit https://t.co/MXQpabQQ2h &amp; join our celebration ft. limited time deals &amp; offers on @AmazonEcho devices &amp;…,,,20,0
9.2755E+17,2017-11-06T14:53:59Z,RT @amazonfiretv: Today we're celebrating Alexa's 3rd birthday. 🎂 🎁🎈 #HBDAlexa https://t.co/dD0mE0be1D,,,26,0
9.26523E+17,2017-11-03T18:55:00Z,RT @JeffBezos: Congrats to the @BestBuy team on their new Alexa skill. Customers can now find and shop Best Buy deals on Alexa. Nice! https…,,,435,0
9.26239E+17,2017-11-03T00:04:57Z,"RT @amazon: Enjoy an exclusive shopping experience by asking, “Alexa, let’s shop Oprah’s Favorite Things.” #OprahsFavoriteThings https://t.…",,,38,0
9.25334E+17,2017-10-31T12:10:18Z,Haunted House or Alexa controlled smart home? You decide. 👻 😱 https://t.co/SgOUOvhNmj,,,42,115
9.23522E+17,2017-10-26T12:10:14Z,"Now that you’ve got your “Eleven” costume perfected, why not use Alexa to control the alphabet lights?… https://t.co/AeYzZ38WxP",,,10,35
9.21161E+17,2017-10-19T23:47:52Z,RT @ultimateears: Introducing #BLAST and #MEGABLAST: our most *ultimate* in sound and hands-free voice control w/ Amazon Alexa. Hearing is…,,,10,0
9.20E+17,2017-10-17T23:52:29Z,🗣️🚗 Shop Garmin Speak with Alexa: https://t.co/yySox1gw5G https://t.co/yliKQbz6LU,,,14,42
9.20261E+17,2017-10-17T12:10:22Z,Alexa's on @Jeopardy! and Jeopardy!'s on Alexa. Go figure. https://t.co/Nd6lt2VAFh https://t.co/tGwQMMr9gB,,,18,67
9.147E+17,2017-10-02T03:52:53Z,RT @amazonfiretv: Don't forget a coaster while you're watching the return of #CurbYourEnthusiasm tonight on @HBO. #RespectWood #AskAlexa ht…,,,9,0
9.13737E+17,2017-09-29T12:09:01Z,"It’s #NationalCoffeeDay ☕️! Celebrate with the new @DunkinDonuts coffee quiz skill for Alexa. Just ask, ""Alexa, tes… https://t.co/QLieFgKL4P",,,15,43
9.10538E+17,2017-09-20T16:14:22Z,RT @amazonfiretv: Be the hero of your living room with Amazon Fire TV and Alexa. #AskAlexa https://t.co/M62adPDhbA,,,23,0
9.10114E+17,2017-09-19T12:09:21Z,"Did you know, if you’re a Prime member, you have access to over 2 million songs on Alexa with Prime Music? Ask by g… https://t.co/HpNHG1gXyO",,,33,78
9.09798E+17,2017-09-18T15:13:46Z,RT @GELighting: Alexa in a New Light: GE’s Industry-First Sol Lamp Now Available. Get yours here: https://t.co/kpj0okz0HL @AmazonEcho #Smar…,,,50,0
9.09749E+17,2017-09-18T12:00:01Z,"Doggos need books too! 🐾📚 Ask, ""Alexa, play A Dog's Purpose from Audible."" Learn more: https://t.co/gGKvbERtLQ… https://t.co/slf205iXWf",,,27,33
9.07577E+17,2017-09-12T12:09:01Z,"🏈 Save 40% on #NFL hats, just ask, ""Alexa, what are your NFL deals?"" 🏈 https://t.co/ZYDUPfhAJl",,,9,17
9.05402E+17,2017-09-06T12:09:01Z,"Need an extra dose of cute to get through the day? Just ask “Alexa, open Pug Bomb” for a surprise. Find more skills… https://t.co/3qwoMUDyHW",,,11,34
9.03228E+17,2017-08-31T12:08:01Z,"Just ask “Alexa, open Translated” and translate from English to 36 different languages. Find more skills here… https://t.co/JcQtawvjlG",,,52,109
9.00E+17,2017-08-23T18:11:24Z,RT @amazonmusic: Get 3 months of Amazon Music Unlimited FREE when you buy the all-new Alexa enabled #HTCU11 by @HTCUSA Learn more: https://…,,,11,0
8.98518E+17,2017-08-18T12:13:50Z,"""Alexa, what causes a solar eclipse? Alexa, how hot is the sun? Alexa, what's the diameter of the sun? "" So many qu… https://t.co/iZP3tyVv57",,,32,80
8.97792E+17,2017-08-16T12:08:01Z,Introducing the first smartphone with hands-free Amazon Alexa! See how @CNET uses Alexa with the new HTC U11:… https://t.co/QtR0O3wdxC,,,71,185
8.9743E+17,2017-08-15T12:08:01Z,"#NationalRelaxationDay with Alexa! Sit back, unwind, and just ask ""Alexa, help me relax"" to see what Alexa can do. https://t.co/Joi8HVUuLo",,,16,70
8.95255E+17,2017-08-09T12:08:26Z,"For relaxation on repeat, just say, ""Alexa, ask Thunderstorm Sounds to loop."" 😌🔁 https://t.co/XzApkewG3A",,,77,236
8.94893E+17,2017-08-08T12:08:01Z,"What’s cuter than a kitten 🐱? Ask “Alexa, open Meow!” for a fun surprise. Find more skills here:… https://t.co/u6zFAz8OiT",,,21,57
