id,created_at,text,topic,action,retweet_count,favorite_count
9.79E+17,2018-03-29T18:03:01Z,"With the @TuneIn Live skill you can listen to your favorite sports team's live. âš¾ï¸ðŸ€ ðŸˆ Get started by saying ""Alexa,â€¦ https://t.co/qGy5snaEja",Entertainment,Streaming,20,41
9.74E+17,2018-03-15T12:03:21Z,Hands free communication with Alexa. Call any number in your cell phone contacts using your Echo and use multiple dâ€¦ https://t.co/KmvPWYBNLj,Social,Communication,29,79
9.74E+17,2018-03-13T21:17:52Z,RT @ecobee: Bring light into your life with the power of voice. ecobee Switch+ is the smarter light switch with built-in Amazon Alexa. Pre-â€¦,Digital_Lifestyle,IoT,27,0
9.71E+17,2018-03-07T13:03:32Z,Find thousands of skills in the Alexa app â€”or just ask Alexa â€” and start personalizing your Echo experience today wâ€¦ https://t.co/IjhpfCFDkH,Promotional,Customization,30,71
9.69E+17,2018-02-28T13:02:21Z,Don't forget! Alexa can set a reminder for you on any Echo device. And even send the reminder to your app while youâ€¦ https://t.co/20sqfflIcR,Productivity,Basic,20,67
9.69E+17,2018-02-27T22:27:22Z,RT @Bose: Alexa convenience meets Bose performance. Introducing new hands-free voice access to your music on #SoundTouch speakers using Aleâ€¦,Entertainment,IoT,25,0
9.66E+17,2018-02-21T13:02:52Z,Transform your average-everyday-lamp into a voice controlled smart lamp with Alexa. Discover more things Alexa canâ€¦ https://t.co/OAQBaxaz7P,Digital_Lifestyle,IoT,20,60
9.66E+17,2018-02-20T13:02:01Z,Did you know you can listen to audiobooks with Alexa? @Audible_com has an unmatched selection of professionally narâ€¦ https://t.co/mFh33qB3wu,Entertainment,Streaming,17,55
9.64E+17,2018-02-13T18:48:29Z,"Skills to educate, entertain, and engage. Just say, ""Alexa, tell me about the kids challenge"" to try our finalist sâ€¦ https://t.co/ulKP6bOyjx",Entertainment,Trivial,9,26
9.61E+17,2018-02-05T17:46:51Z,"Gordon Ramsay might not be the new voice of Alexa, but he will review your cooking chops. Just say, ""Alexa, ask Goâ€¦ https://t.co/Qsci7ljBzy",Promotional,Trivial,481,2505
9.60E+17,2018-02-05T03:58:58Z,"The unstoppable @Lesdoggg , thanks for stepping in. We got it from here. #AskAlexa https://t.co/AaiCDwobsZ",Promotional,Trivial,10,56
9.60E+17,2018-02-05T03:05:07Z,Weâ€™re not done yet! Stay tuned after the game to see @lesdoggg and @ohsnapjbsmoove #AskAlexa https://t.co/AAkSHIkmnh,Promotional,Trivial,55,196
